"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"109","ASV_120","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"110","ASV_121","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"111","ASV_122","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"112","ASV_123","Low","9720","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"113","ASV_124","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"114","ASV_125","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"115","ASV_126","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"116","ASV_128","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"117","ASV_129","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"118","ASV_130","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"119","ASV_131","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"120","ASV_132","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"121","ASV_133","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"122","ASV_134","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"123","ASV_136","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"124","ASV_137","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"125","ASV_139","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"126","ASV_141","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"127","ASV_142","High","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
