"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"95","ASV_108","High-MH","None","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database"
"96","ASV_110","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"97","ASV_111","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"98","ASV_112","Low","56726","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus"
"99","ASV_113","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"100","ASV_114","High-MH","None","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae",NA,NA
"101","ASV_115","High-MH","None","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database"
"102","ASV_116","Low","446792","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis liparis"
"103","ASV_118","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"104","ASV_119","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"105","ASV_120","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena",NA
"106","ASV_121","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"107","ASV_122","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"108","ASV_123","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"109","ASV_124","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
