ID,Site,Excavation,Context,Species,%C ,C,%N ,N,C/N ratio,Century,Dating,MiddleDate,Source
83533,ISA,NA,NA,cod,35.3,-14.7,13.6,12.7,3.03,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-126
83536,ISA,NA,NA,cod,33.6,-14.5,13,12.7,3.03,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-127
83539,ISA,NA,NA,cod,34.7,-15.6,13.5,12.5,3.02,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-128
83540,ISA,NA,NA,cod,38.9,-16,14.8,12.5,3.06,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-129
85064,BRV,19,2,wolffish,37.1,-14.9,12.3,11.8,3.53,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-130
85065,BRV,19,2,wolffish,37.4,-14.2,12.5,12.2,3.51,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-131
85066,BRV,19,2,wolffish,40.5,-14.3,13.4,11.7,3.53,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-132
85067,BRV,19,2,wolffish,36.3,-14.2,12.1,12.2,3.5,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-133
85068,BRV,19,4,cod,33.7,-14,11.6,10.5,3.39,19,14C (1860±27),1860,https://www.nature.com/articles/s41598-021-92243-134
85069,BRV,19,4,cod,34.6,-14,11.6,9.5,3.5,19,14C (1860±27),1860,https://www.nature.com/articles/s41598-021-92243-135
85070,BRV,19,7,cod,27.5,-12.4,10.1,14.4,3.17,18,14C (1770±27),1770,https://www.nature.com/articles/s41598-021-92243-136
85071,BRV,19,7,cod,32.1,-12.9,11.9,12.5,3.16,18,14C (1770±27),1770,https://www.nature.com/articles/s41598-021-92243-137
85074,BRV,19,7,cod,29.1,-13.2,10.8,13.2,3.16,18,14C (1770±27),1770,https://www.nature.com/articles/s41598-021-92243-138
85075,BRV,19,7,cod,30.5,-11.8,11,13,3.25,18,14C (1770±27),1770,https://www.nature.com/articles/s41598-021-92243-139
85076,BRV,19,7,wolffish,39.7,-11.7,14.5,12.3,3.2,18,14C (1788±27),1788,https://www.nature.com/articles/s41598-021-92243-140
85077,BRV,19,7,wolffish,38.5,-11.3,14.6,14.3,3.09,18,14C (1788±27),1788,https://www.nature.com/articles/s41598-021-92243-141
85078,BRV,19,8,wolffish,36.4,-12.2,13.4,12.4,3.17,18,14C (1788±27),1788,https://www.nature.com/articles/s41598-021-92243-142
85079,BRV,19,8,wolffish,39.7,-12.5,14.9,11.7,3.12,18,14C (1788±27),1788,https://www.nature.com/articles/s41598-021-92243-143
85080,BRV,19,13,cod,37.3,-11.2,13.9,13.1,3.13,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-144
85081,BRV,19,13,cod,31.3,-15.6,11.1,12.6,3.3,19,14C (1880±27),1880,https://www.nature.com/articles/s41598-021-92243-145
