4,scientific_name,sample_alias,sample_title,sample_description,project name,collection date,geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),broad-scale environmental context,local environmental context,environmental medium,elevation,depth,sample_accession,run_accession,experiment_accession
256318,metagenome,IS-GC1-040,IS-GC1-040,,IS-GC1-040,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.4,SAMEA115939038,ERR13512100;ERR13512101;ERR13512102;ERR13512105;ERR13512106;ERR13514853;ERR13514856;ERR13514858;ERR13512103;ERR13512107;ERR13512104;ERR13514854;ERR13514855;ERR13514857;ERR13514852;ERR13514859,ERX12882003;ERX12882004;ERX12882005;ERX12882008;ERX12882009;ERX12884756;ERX12884759;ERX12884761;ERX12882006;ERX12882010;ERX12882007;ERX12884757;ERX12884758;ERX12884760;ERX12884755;ERX12884762
256318,metagenome,IS-GC1-044,IS-GC1-044,,IS-GC1-044,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.44,SAMEA115939039,ERR13512109;ERR13512115;ERR13514862;ERR13514863;ERR13514864;ERR13514865;ERR13512108;ERR13512112;ERR13512113;ERR13512114;ERR13512110;ERR13512111;ERR13514860;ERR13514866;ERR13514867;ERR13514861,ERX12882012;ERX12882018;ERX12884765;ERX12884766;ERX12884767;ERX12884768;ERX12882011;ERX12882015;ERX12882016;ERX12882017;ERX12882013;ERX12882014;ERX12884763;ERX12884769;ERX12884770;ERX12884764
256318,metagenome,IS-GC1-048,IS-GC1-048,,IS-GC1-048,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.48,SAMEA115939040,ERR13512119;ERR13512123;ERR13514871;ERR13514873;ERR13512117;ERR13512118;ERR13512120;ERR13512121;ERR13512122;ERR13512116;ERR13514869;ERR13514870;ERR13514872;ERR13514874;ERR13514875;ERR13514868,ERX12882022;ERX12882026;ERX12884774;ERX12884776;ERX12882020;ERX12882021;ERX12882023;ERX12882024;ERX12882025;ERX12882019;ERX12884772;ERX12884773;ERX12884775;ERX12884777;ERX12884778;ERX12884771
256318,metagenome,IS-GC1-052,IS-GC1-052,,IS-GC1-052,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.52,SAMEA115939041,ERR13512124;ERR13512127;ERR13512128;ERR13514877;ERR13514881;ERR13512125;ERR13512129;ERR13512130;ERR13512126;ERR13512131;ERR13514878;ERR13514879;ERR13514883;ERR13514876;ERR13514880;ERR13514882,ERX12882027;ERX12882030;ERX12882031;ERX12884780;ERX12884784;ERX12882028;ERX12882032;ERX12882033;ERX12882029;ERX12882034;ERX12884781;ERX12884782;ERX12884786;ERX12884779;ERX12884783;ERX12884785
256318,metagenome,IS-GC1-056,IS-GC1-056,,IS-GC1-056,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.56,SAMEA115939042,ERR13512132;ERR13512133;ERR13512137;ERR13512139;ERR13514888;ERR13514891;ERR13512134;ERR13512136;ERR13512138;ERR13512135;ERR13514886;ERR13514889;ERR13514890;ERR13514884;ERR13514885;ERR13514887,ERX12882035;ERX12882036;ERX12882040;ERX12882042;ERX12884791;ERX12884794;ERX12882037;ERX12882039;ERX12882041;ERX12882038;ERX12884789;ERX12884792;ERX12884793;ERX12884787;ERX12884788;ERX12884790
256318,metagenome,IS-GC1-060,IS-GC1-060,,IS-GC1-060,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.6,SAMEA115939043,ERR13512140;ERR13512141;ERR13514893;ERR13514894;ERR13514896;ERR13514897;ERR13512145;ERR13512147;ERR13512142;ERR13512143;ERR13512144;ERR13512146;ERR13514895;ERR13514898;ERR13514899;ERR13514892,ERX12882043;ERX12882044;ERX12884796;ERX12884797;ERX12884799;ERX12884800;ERX12882048;ERX12882050;ERX12882045;ERX12882046;ERX12882047;ERX12882049;ERX12884798;ERX12884801;ERX12884802;ERX12884795
256318,metagenome,IS-GC1-064,IS-GC1-064,,IS-GC1-064,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.64,SAMEA115939044,ERR13512149;ERR13512155;ERR13514902;ERR13514904;ERR13512148;ERR13512150;ERR13512151;ERR13512152;ERR13512153;ERR13512154;ERR13514900;ERR13514901;ERR13514903;ERR13514905;ERR13514906;ERR13514907,ERX12882052;ERX12882058;ERX12884805;ERX12884807;ERX12882051;ERX12882053;ERX12882054;ERX12882055;ERX12882056;ERX12882057;ERX12884803;ERX12884804;ERX12884806;ERX12884808;ERX12884809;ERX12884810
256318,metagenome,IS-GC1-068,IS-GC1-068,,IS-GC1-068,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.68,SAMEA115939045,ERR13512158;ERR13512159;ERR13512162;ERR13514911;ERR13514912;ERR13514913;ERR13514914;ERR13512157;ERR13512156;ERR13512160;ERR13512161;ERR13512163;ERR13514909;ERR13514915;ERR13514908;ERR13514910,ERX12882061;ERX12882062;ERX12882065;ERX12884814;ERX12884815;ERX12884816;ERX12884817;ERX12882060;ERX12882059;ERX12882063;ERX12882064;ERX12882066;ERX12884812;ERX12884818;ERX12884811;ERX12884813
256318,metagenome,IS-GC1-072,IS-GC1-072,,IS-GC1-072,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.72,SAMEA115939046,ERR13512164;ERR13512165;ERR13512171;ERR13514919;ERR13514921;ERR13512166;ERR13512168;ERR13512170;ERR13512167;ERR13512169;ERR13514916;ERR13514918;ERR13514923;ERR13514917;ERR13514920;ERR13514922,ERX12882067;ERX12882068;ERX12882074;ERX12884822;ERX12884824;ERX12882069;ERX12882071;ERX12882073;ERX12882070;ERX12882072;ERX12884819;ERX12884821;ERX12884826;ERX12884820;ERX12884823;ERX12884825
256318,metagenome,IS-GC1-076,IS-GC1-076,,IS-GC1-076,Jun-06,Atlantic Ocean,66.5015,-19.50567,shelf sea,benthos,Sediment,-301,0.76,SAMEA115939047,ERR13512173;ERR13512175;ERR13514924;ERR13514925;ERR13514926;ERR13514927;ERR13514930;ERR13512172;ERR13512176;ERR13512177;ERR13512178;ERR13512174;ERR13512179;ERR13514928;ERR13514929;ERR13514931,ERX12882076;ERX12882078;ERX12884827;ERX12884828;ERX12884829;ERX12884830;ERX12884833;ERX12882075;ERX12882079;ERX12882080;ERX12882081;ERX12882077;ERX12882082;ERX12884831;ERX12884832;ERX12884834
