"","Sample","Core","Date_bp_mean","Date_CE_mean","year","d13C.GAM.fit","d13C.GAM.fit.se","d13C.GAM.fit.uppCI","d13C.GAM.fit.lwrCI","d13C.100yrspline","year","d18O.GAM.fit","d18O.GAM.fit.se","d18O.GAM.fit.uppCI","d18O.GAM.fit.lwrCI","d18O.100yrspline","year","SeaIceIndex.GAM.fit","SeaIceIndex.GAM.fit.se","SeaIceIndex.GAM.fit.uppCI","SeaIceIndex.GAM.fit.lwrCI","SeaIceIndex.100yrspline","yearCE","yearBP","MD99-2275sstAlkenone.GAM.fit","MD99-2275sstAlkenone.GAM.fit.se","MD99-2275sstAlkenone.GAM.fit.uppCI","MD99-2275sstAlkenone.GAM.fit.lwrCI","MD99-2275sstAlkenone.100yrspline","yearCE","yearBP","MD99-2275sstDiatom.GAM.fit","MD99-2275sstDiatom.GAM.fit.se","MD99-2275sstDiatom.GAM.fit.uppCI","MD99-2275sstDiatom.GAM.fit.lwrCI","MD99-2275sstDiatom.100yrspline"
"108","PC019-125","PC019",730,1220,1220,2.31908878348831,0.0444174803063093,2.40614704488868,2.23203052208795,2.30964124695037,1220,3.54356445753823,0.0407687746351577,3.62347125582314,3.46365765925332,3.57507811588824,NA,NA,NA,NA,NA,NA,1220,730,8.83377728700022,0.143947763214501,9.11591490290064,8.5516396710998,8.45597832159538,1220,730,7.28568678893719,0.0547063170190087,7.39291117029445,7.17846240757993,7.31714164038516
"109","PC019-127","PC019",740,1210,1210,2.0050233967504,0.0447923692539322,2.0928164404881,1.91723035301269,2.18392612801255,1210,3.57586136760068,0.0410367356157158,3.65629336940749,3.49542936579388,3.57791308420915,NA,NA,NA,NA,NA,NA,1210,740,8.84361177724884,0.14441482458573,9.12666483343687,8.56055872106081,8.46627738556039,1210,740,7.29613397823103,0.0549625201128586,7.40386051765223,7.18840743880982,7.32772114253614
"110","PC019-129","PC019",749,1201,1201,1.88483571402874,0.0444594673708324,1.97197627007557,1.7976951579819,2.10144158234643,1201,3.59529423594243,0.0407982024084637,3.67525871266302,3.51532975922184,3.58345124402195,NA,NA,NA,NA,NA,NA,1201,749,8.84868978221013,0.144237871034664,9.13139600943807,8.56598355498218,8.47497303059009,1201,749,7.30543069024998,0.0551949674199963,7.41361282639317,7.19724855410679,7.336890680899
"111","PC019-131","PC019",759,1191,1191,1.91839682290098,0.0447246903577452,2.00605721600216,1.8307364297998,2.0673118134035,1191,3.58743635105127,0.0409889086603447,3.66777461202554,3.50709809007699,3.58661004536167,NA,NA,NA,NA,NA,NA,1191,759,8.85204605863564,0.143499723122011,9.13330551595478,8.5707866013165,8.48335458022738,1191,759,7.31563131559251,0.0554554420449447,7.42432398200061,7.20693864918442,7.34659805492439
"112","PC019-133","PC019",769,1181,1181,2.04047806749826,0.0445194113046359,2.12773611365535,1.95322002134117,2.08507576855245,1181,3.57598600073534,0.0408406308216187,3.65603363714571,3.49593836432497,3.5961222423398,NA,NA,NA,NA,NA,NA,1181,769,8.85494547421859,0.14248028566246,9.13420683411701,8.57568411432017,8.49032566187575,1181,769,7.32568613338953,0.0557186086688512,7.43489460638048,7.21647766039859,7.355882624711
"113","PC019-135","PC019",779,1171,1171,2.18365086584036,0.0446523122118581,2.2711693977756,2.09613233390512,2.14815976958885,1171,3.59555130933428,0.0409375337797799,3.67578887554265,3.51531374312592,3.61306378866539,NA,NA,NA,NA,NA,NA,1171,779,8.85918219445068,0.141540123231088,9.13660083598361,8.58176355291774,8.49618856154096,1171,779,7.33558639192382,0.0559845838841067,7.44531617633667,7.22585660751097,7.36453425498326
"114","PC019-137","PC019",789,1161,1161,2.29841064547826,0.0446033955134527,2.38583330068463,2.21098799027189,2.21699772001365,1161,3.6419449298175,0.040900273658638,3.72210946618843,3.56178039344657,3.63060634460708,NA,NA,NA,NA,NA,NA,1161,789,8.86627831939199,0.140942767324213,9.14252614334745,8.59003049543654,8.50083930232457,1161,789,7.34532567395231,0.05625435411798,7.45558420802355,7.23506713988107,7.3723965207672
"115","PC019-139","PC019",799,1151,1151,2.33562211529321,0.0445596929879695,2.42295911354963,2.24828511703679,2.25468521742569,1151,3.67841707533125,0.0408716523249713,3.7585255138882,3.59830863677431,3.64140342717156,NA,NA,NA,NA,NA,NA,1151,799,8.87722439434669,0.140835235346054,9.15326145562495,8.60118733306842,8.50463527784563,1151,799,7.35489923883986,0.0565290648527464,7.46569620595124,7.24410227172847,7.37979722034413
"116","PC019-141","PC019",809,1141,1141,2.29156366017556,0.0447025436953884,2.37918064581852,2.2039466745326,2.2562533054362,1141,3.67526667080553,0.0409708878080401,3.75556961090929,3.59496373070177,3.64557554402432,NA,NA,NA,NA,NA,NA,1141,809,8.89233362806324,0.141232694435008,9.16914970915585,8.61551754697062,8.50771340840473,1141,809,7.36430367544522,0.0568098020718256,7.475650887506,7.25295646338444,7.38691101158119
"117","PC019-143","PC019",819,1131,1131,2.22815771265256,0.0444571950009217,2.31529381485437,2.14102161045075,2.2261015994975,1131,3.63513853201684,0.0407985877200144,3.71510376394806,3.55517330008561,3.64506985803313,NA,NA,NA,NA,NA,NA,1131,819,8.91140715561523,0.141958343345169,9.18964550857176,8.6331688026587,8.5099671937668,1131,819,7.37353702219652,0.0570979493854786,7.48544900299205,7.26162504140098,7.39384928029469
