"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.PC019-259_5_4-5.S",48355,47782,56652,55914
"EUK.PC019-259_6_4-6.S",97393,95923,108469,106503
"EUK.PC019-259_7_4-7.S",91404,89851,93026,91459
"EUK.PC019-259_8_4-8.S",49383,48573,57690,56673
"EUK.PC019-261_1_4-1.S",52345,51417,60885,59808
"EUK.PC019-261_2_4-2.S",97321,95770,99515,97766
"EUK.PC019-261_3_4-3.S",108217,106097,123481,120548
"EUK.PC019-261_4_4-4.S",76801,75381,89247,87306
"EUK.PC019-261_5_4-5.S",100024,98706,110551,108688
"EUK.PC019-261_6_4-6.S",87452,86162,92458,90893
"EUK.PC019-261_7_4-7.S",45867,45049,51982,50974
"EUK.PC019-261_8_4-8.S",77982,76208,84355,82316
"EUK.PC019-263_1_4-1.S",61246,60328,73345,72226
"EUK.PC019-263_2_4-2.S",64351,63210,69635,68290
"EUK.PC019-263_3_4-3.S",156376,153018,170018,166077
"EUK.PC019-263_4_4-4.S",162484,159784,146509,143739
"EUK.PC019-263_5_4-5.S",78575,77307,84483,83033
"EUK.PC019-263_6_4-6.S",52315,51441,51181,50181
"EUK.PC019-263_7_4-7.S",41933,41344,41246,40583
"EUK.PC019-263_8_4-8.S",114957,113237,112877,110951
"EUK.PC019-265_1_4-1.S",41413,40916,42390,41703
"EUK.PC019-265_2_4-2.S",43553,42899,45377,44577
"EUK.PC019-265_3_4-3.S",143102,140979,151731,149163
"EUK.PC019-265_4_4-4.S",28164,27726,29102,28545
"EUK.PC019-265_5_4-5.S",119939,118343,123427,121476
"EUK.PC019-265_6_4-6.S",69803,68508,77876,76585
"EUK.PC019-265_7_4-7.S",34211,33780,35057,34485
"EUK.PC019-265_8_4-8.S",157198,154472,170092,166470
"EUK.PC019-267_1_4-1.S",91907,90853,97446,96083
"EUK.PC019-267_2_4-2.S",52072,51164,60085,59067
"EUK.PC019-267_3_4-3.S",125205,122923,131548,128701
"EUK.PC019-267_4_4-4.S",89296,87744,111217,108985
"EUK.PC019-267_5_4-5.S",92426,91300,94944,93632
"EUK.PC019-267_6_4-6.S",63659,62419,69824,68433
"EUK.PC019-267_7_4-7.S",2,2,1,1
"EUK.PC019-267_8_4-8.S",95936,94469,108490,106541
"EUK.PC019-269_1_4-1.S",67220,66421,77856,76720
"EUK.PC019-269_2_4-2.S",94328,92572,100122,98281
"EUK.PC019-269_3_4-3.S",43712,42797,52369,51381
"EUK.PC019-269_4_4-4.S",18658,18241,18347,17920
"EUK.PC019-269_5_4-5.S",130427,129049,137104,135190
"EUK.PC019-269_6_4-6.S",36004,35405,35977,35332
"EUK.PC019-269_7_4-7.S",3,3,0,0
"EUK.PC019-269_8_4-8.S",56322,55232,60985,59806
"EUK.PC019-271_1_4-1.S",114648,112930,134488,131903
"EUK.PC019-271_2_4-2.S",108925,106886,115531,113054
"EUK.PC019-271_3_4-3.S",75180,73031,79365,76915
"EUK.PC019-271_4_4-4.S",47444,46173,54085,52509
