"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.IS-GC1-048-1-1.1.S",25145,24104,23975,23014
"EUK.IS-GC1-048-2-1.2.S",109742,107568,117073,114922
"EUK.IS-GC1-048-3-1.3.S",80247,78531,90220,88366
"EUK.IS-GC1-048-4-1.4.S",58558,57267,61754,60354
"EUK.IS-GC1-048-5-1.5.S",77153,74801,84851,82612
"EUK.IS-GC1-048-6-1.6.S",36526,35171,36733,35421
"EUK.IS-GC1-048-7-1.7.S",73121,71387,81227,79479
"EUK.IS-GC1-048-8-1.8.S",45354,43922,46330,45068
"EUK.IS-GC1-052-1-3.1.S",81049,78961,88503,86425
"EUK.IS-GC1-052-2-3.2.S",10729,10169,10796,10345
"EUK.IS-GC1-052-3-3.3.S",54096,52347,64447,62402
"EUK.IS-GC1-052-4-3.4.S",50310,49276,57545,56428
"EUK.IS-GC1-052-5-3.5.S",52427,51219,52738,51683
"EUK.IS-GC1-052-6-3.6.S",101936,98158,105209,101738
"EUK.IS-GC1-052-7-3.7.S",9159,8770,11029,10694
"EUK.IS-GC1-052-8-3.8.S",21679,20760,20433,19698
"EUK.IS-GC1-056-1-1.1.S",105209,101485,96619,93872
"EUK.IS-GC1-056-2-1.2.S",191046,187138,183066,179503
"EUK.IS-GC1-056-3-1.3.S",29065,28183,33072,32200
"EUK.IS-GC1-056-4-1.4.S",48237,46934,57810,56319
"EUK.IS-GC1-056-5-1.5.S",151996,147903,151611,147617
"EUK.IS-GC1-056-6-1.6.S",18960,18248,18626,17871
"EUK.IS-GC1-056-7-1.7.S",113287,110763,125161,122346
"EUK.IS-GC1-056-8-1.8.S",83150,81365,82476,80681
"EUK.IS-GC1-060-1-3.1.S",74083,71538,72455,70238
"EUK.IS-GC1-060-2-3.2.S",12967,11909,14912,13841
"EUK.IS-GC1-060-3-3.3.S",21607,20970,27905,27140
"EUK.IS-GC1-060-4-3.4.S",58803,56903,62947,61067
"EUK.IS-GC1-060-5-3.5.S",84135,81791,92263,89830
"EUK.IS-GC1-060-6-3.6.S",57075,55150,60397,58665
"EUK.IS-GC1-060-7-3.7.S",15038,13889,16348,15414
"EUK.IS-GC1-060-8-3.8.S",59822,57379,65147,62745
"EUK.IS-GC1-064-1-1.1.S",88864,86174,95776,93208
"EUK.IS-GC1-064-2-1.2.S",144525,141081,171832,168431
"EUK.IS-GC1-064-3-1.3.S",130527,127584,158183,154418
"EUK.IS-GC1-064-4-1.4.S",130574,127547,131822,128720
"EUK.IS-GC1-064-5-1.5.S",125667,121532,127966,124070
"EUK.IS-GC1-064-6-1.6.S",58784,57356,58216,56844
"EUK.IS-GC1-064-7-1.7.S",148119,144387,149980,147097
"EUK.IS-GC1-064-8-1.8.S",127594,124643,127297,124394
"EUK.IS-GC1-068-1-1.1.S",66315,63955,71296,69206
"EUK.IS-GC1-068-2-1.2.S",107590,104658,114413,111315
"EUK.IS-GC1-068-3-1.3.S",56830,55295,67153,65388
"EUK.IS-GC1-068-4-1.4.S",52780,50969,55405,53727
"EUK.IS-GC1-068-5-1.5.S",106185,103945,118559,116012
"EUK.IS-GC1-068-6-1.6.S",16342,15775,18312,17707
"EUK.IS-GC1-068-7-1.7.S",30458,29531,29105,28204
"EUK.IS-GC1-068-8-1.8.S",56280,54977,57915,56511
"EUK.IS-GC1-072-1-1.1.S",86743,84227,92563,90149
"EUK.IS-GC1-072-2-1.2.S",64011,62517,74230,72599
"EUK.IS-GC1-072-3-1.3.S",70015,68450,76088,74371
"EUK.IS-GC1-072-4-1.4.S",58479,56680,61511,59802
"EUK.IS-GC1-072-5-1.5.S",123345,119549,121858,118494
"EUK.IS-GC1-072-6-1.6.S",26814,25828,27909,26975
"EUK.IS-GC1-072-7-1.7.S",81602,79412,88952,86596
"EUK.IS-GC1-072-8-1.8.S",79135,76815,78736,76523
"EUK.IS-GC1-076-1-3.1.S",52626,51105,54083,52680
"EUK.IS-GC1-076-2-3.2.S",22769,21604,24235,23189
"EUK.IS-GC1-076-3-3.3.S",42642,41189,50226,48703
"EUK.IS-GC1-076-4-3.4.S",32719,31719,35180,34201
"EUK.IS-GC1-076-5-3.5.S",31334,30521,33729,32955
"EUK.IS-GC1-076-6-3.6.S",43457,42147,41549,40334
"EUK.IS-GC1-076-7-3.7.S",9538,9109,9986,9586
"EUK.IS-GC1-076-8-3.8.S",73830,71513,75279,72993
"EUK.IS-GC1-080-1-1.1.S",120343,116994,131429,128367
"EUK.IS-GC1-080-2-1.2.S",141727,138891,133753,131110
"EUK.IS-GC1-080-3-1.3.S",48751,47226,50375,49015
"EUK.IS-GC1-080-4-1.4.S",57257,55749,64750,63155
"EUK.IS-GC1-080-5-1.5.S",104598,101908,106113,103704
"EUK.IS-GC1-080-6-1.6.S",19537,18900,18147,17621
"EUK.IS-GC1-080-7-1.7.S",87739,85839,87731,85865
"EUK.IS-GC1-080-8-1.8.S",49236,47920,51981,50629
"EUK.IS-GC1-084-1-3.1.S",48228,46556,47552,46132
"EUK.IS-GC1-084-2-3.2.S",21135,20153,20346,19534
"EUK.IS-GC1-084-3-3.3.S",66091,63842,76672,74252
"EUK.IS-GC1-084-4-3.4.S",37076,35782,41509,40230
