value,year,record
2.369,1224,Arcticad13C
2.49,1223,Arcticad13C
2.31,1222,Arcticad13C
1.79,1221,Arcticad13C
1.5865,1220,Arcticad13C
1.54,1219,Arcticad13C
1.79,1218,Arcticad13C
1.77,1217,Arcticad13C
2.646526,1216,Arcticad13C
2.331015,1215,Arcticad13C
2.14,1214,Arcticad13C
2.320186,1213,Arcticad13C
2.202875,1212,Arcticad13C
2.263806,1211,Arcticad13C
2.376748,1210,Arcticad13C
2.034604,1209,Arcticad13C
1.966737,1208,Arcticad13C
1.956699,1207,Arcticad13C
1.500267,1206,Arcticad13C
1.941153,1205,Arcticad13C
1.913757,1204,Arcticad13C
1.869443,1203,Arcticad13C
1.537991,1202,Arcticad13C
1.539784,1201,Arcticad13C
1.33954,1200,Arcticad13C
1.780208,1199,Arcticad13C
1.998468,1198,Arcticad13C
1.854296,1197,Arcticad13C
1.669858,1196,Arcticad13C
2.082658,1195,Arcticad13C
2.396061,1194,Arcticad13C
2.10843,1193,Arcticad13C
2.63126,1192,Arcticad13C
2.271032,1191,Arcticad13C
2.69,1190,Arcticad13C
2.15,1189,Arcticad13C
2.195,1188,Arcticad13C
2.3,1187,Arcticad13C
2.125,1186,Arcticad13C
1.935,1185,Arcticad13C
1.866701,1184,Arcticad13C
1.855,1183,Arcticad13C
2.055,1182,Arcticad13C
1.695,1181,Arcticad13C
1.092929,1180,Arcticad13C
1.304,1179,Arcticad13C
1.48,1178,Arcticad13C
1.42,1177,Arcticad13C
1.205,1176,Arcticad13C
2.308,1175,Arcticad13C
2.39,1174,Arcticad13C
2.48,1173,Arcticad13C
2.32,1172,Arcticad13C
2.37,1171,Arcticad13C
2.2,1170,Arcticad13C
2.24,1169,Arcticad13C
2.27,1168,Arcticad13C
2.41,1167,Arcticad13C
2.42,1166,Arcticad13C
2.448303,1165,Arcticad13C
2.53,1164,Arcticad13C
2.58,1163,Arcticad13C
2.59,1162,Arcticad13C
2.55,1161,Arcticad13C
2.46,1160,Arcticad13C
2.41,1159,Arcticad13C
2.41,1158,Arcticad13C
2.49,1157,Arcticad13C
2.36,1156,Arcticad13C
2.37,1155,Arcticad13C
2.049038,1154,Arcticad13C
2.37,1153,Arcticad13C
2.44,1152,Arcticad13C
2.27,1151,Arcticad13C
2.388608,1150,Arcticad13C
2.37,1149,Arcticad13C
2.2,1148,Arcticad13C
2.25167,1147,Arcticad13C
2.376677,1146,Arcticad13C
2.13,1145,Arcticad13C
2.15,1144,Arcticad13C
1.948,1143,Arcticad13C
2.17,1142,Arcticad13C
2.16,1141,Arcticad13C
2.14,1140,Arcticad13C
2.2,1139,Arcticad13C
2.23,1138,Arcticad13C
2.26578,1137,Arcticad13C
2.29,1136,Arcticad13C
2.38,1135,Arcticad13C
2.213407,1134,Arcticad13C
2.3,1133,Arcticad13C
2.28,1132,Arcticad13C
2.091975,1131,Arcticad13C
2.13317,1130,Arcticad13C
2.32,1129,Arcticad13C
2.27,1128,Arcticad13C
2.37,1127,Arcticad13C
2.27,1126,Arcticad13C
2.16,1125,Arcticad13C
2.24,1124,Arcticad13C
2.33,1123,Arcticad13C
2.28,1122,Arcticad13C
2.27,1121,Arcticad13C
2.184,1120,Arcticad13C
2.203,1119,Arcticad13C
1.755,1118,Arcticad13C
2.05245,1117,Arcticad13C
2.22,1116,Arcticad13C
2.43,1115,Arcticad13C
2.23,1114,Arcticad13C
2.23,1113,Arcticad13C
2.32,1112,Arcticad13C
2.061376,1111,Arcticad13C
2.18,1110,Arcticad13C
2.31,1109,Arcticad13C
2.16939,1108,Arcticad13C
2.2,1107,Arcticad13C
1.644,1106,Arcticad13C
1.962154,1105,Arcticad13C
1.92,1104,Arcticad13C
1.93,1103,Arcticad13C
